Distal,Shape,Class,Length,Cortex_Percentagem,Thickness,Width,Cortex_Location,Scar_count,Profile,Cross_section,Platform_type,Dorsal_Pattern,Cortex
Natural,Divergent,Flake,15.77000046,NoCortex,4.340000153,17.46999931,,0,Direito,Irregular,Cortical,Other,No_cortex
Natural,Irregular,Flake,15.38000011,NoCortex,2.25999999,17.45999908,,0,Direito,Triangular,Cortical,Other,No_cortex
Natural,Irregular,Flake,15.31999969,NoCortex,4.400000095,20.09000015,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Paralell,Flake,15.02000046,NoCortex,2.880000114,10.43999958,,0,Direito,Irregular,Other,Other,No_cortex
Natural,Circular,Flake,12.61999989,NoCortex,1.539999962,11.44999981,,0,Direito,Flat,Crushed,Other,No_cortex
Natural,Biconvex,Flake,45.65999985,NoCortex,4.039999962,24.37000084,,0,Direito,Trapezoidal,Other,Other,No_cortex
Natural,Convergent,Flake,34.43000031,NoCortex,4.760000229,32,,0,Encurvado,Irregular,Multifacetted,Other,No_cortex
Natural,Divergent,Flake,22.09000015,NoCortex,3.849999905,14.69999981,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Paralell,Flake,42.11000061,NoCortex,14.77999973,24.92000008,,0,Irregular,Irregular,Liso,Other,No_cortex
Natural,Divergent,Flake,27.82999992,NoCortex,7.230000019,20.02000046,,0,Torcido,Triangular,Other,Other,No_cortex
Natural,Biconvex,Flake,40.52999878,NoCortex,9.640000343,35.72000122,,0,Encurvado,Irregular,Other,Other,No_cortex
Natural,Irregular,Flake,33.34000015,NoCortex,6.409999847,38.93999863,,0,Irregular,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,31.53000069,NoCortex,12.03999996,16.87999916,,0,Direito,Triangular,Liso,Other,No_cortex
Natural,Divergent,Flake,20.29999924,NoCortex,2.779999971,18.70999908,,0,Direito,Flat,Crushed,Other,No_cortex
Pointed,Irregular,Flake,18.20999908,NoCortex,1.879999995,10.42000008,,0,Torcido,Irregular,Crushed,Other,No_cortex
Natural,Irregular,Flake,18.20999908,NoCortex,7.690000057,21.27000046,,0,Direito,Flat,Linear,Other,No_cortex
Natural,Irregular,Flake,17.45000076,NoCortex,1.559999943,10.94999981,,0,Direito,Flat,Cortical,Other,No_cortex
Natural,Paralell,Flake,16.17000008,NoCortex,5.139999866,16.63999939,,0,Direito,Triangular,Liso,Other,No_cortex
Natural,Irregular,Flake,15.52000046,NoCortex,3.200000048,16.70000076,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,15.46000004,NoCortex,4.099999905,24.47999954,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Irregular,Flake,15.19999981,NoCortex,3.710000038,17.89999962,,0,Direito,Irregular,Liso,Other,No_cortex
Natural,Paralell,Flake,15.10999966,NoCortex,2.069999933,10.10000038,,0,Direito,Flat,Crushed,Other,No_cortex
Natural,Divergent,Flake,14.68999958,NoCortex,5.960000038,20.90999985,,0,Direito,Triangular,Crushed,Other,No_cortex
Natural,Circular,Flake,13.68999958,NoCortex,3.569999933,15.10000038,,0,Irregular,Triangular,Liso,Other,No_cortex
Natural,Other,Flake,12.61999989,NoCortex,2.779999971,16.40999985,,0,Irregular,Irregular,Crushed,Other,No_cortex
